"","x"
"1",97
"2",95
"3",92
"4",91
"5",90
"6",92
"7",96
"8",102
"9",101
"10",100
"11",100
"12",110
"13",138
"14",158
"15",145
"16",121
"17",108
"18",85
"19",113
"20",129
"21",125
"22",112
"23",108
"24",108
"25",114
"26",143
"27",171
"28",172
"29",160
"30",161
"31",125
"32",90
"33",83
"34",84
"35",88
"36",106
"37",125
"38",130
"39",153
"40",154
"41",140
"42",145
"43",177
"44",189
"45",0
"46",0
"47",0
"48",197
"49",193
"50",164
"51",133
"52",91
"53",88
"54",101
"55",112
"56",115
"57",116
"58",127
"59",125
"60",142
"61",137
"62",133
"63",155
"64",176
"65",193
"66",190
"67",194
"68",0
"69",188
"70",0
"71",0
"72",0
"73",0
"74",0
"75",123
"76",86
"77",90
"78",112
"79",140
"80",125
"81",125
"82",130
"83",130
"84",127
"85",119
"86",108
"87",91
"88",81
"89",75
"90",76
"91",77
"92",78
"93",80
"94",84
"95",86
"96",177
"97",171
"98",162
"99",161
"100",156
"101",140
"102",154
"103",179
"104",187
"105",0
"106",195
"107",187
"108",161
"109",179
"110",0
"111",192
"112",150
"113",169
"114",126
"115",87
"116",91
"117",97
"118",141
"119",143
"120",137
"121",138
"122",129
"123",128
"124",119
"125",105
"126",92
"127",84
"128",77
"129",76
"130",76
"131",76
"132",80
"133",85
"134",88
"135",93
"136",98
"137",97
"138",97
"139",148
"140",156
"141",171
"142",185
"143",158
"144",159
"145",154
"146",156
"147",166
"148",158
"149",153
"150",143
"151",137
"152",132
"153",140
"154",192
"155",0
"156",158
"157",125
"158",105
"159",89
"160",89
"161",87
"162",91
"163",119
"164",135
"165",135
"166",127
"167",127
"168",114
"169",102
"170",91
"171",85
"172",80
"173",77
"174",76
"175",78
"176",81
"177",84
"178",88
"179",91
"180",94
"181",94
"182",95
"183",96
"184",183
"185",0
"186",0
"187",0
"188",180
"189",168
"190",125
"191",140
"192",156
"193",137
"194",151
"195",166
"196",171
"197",172
"198",163
"199",163
"200",169
"201",154
"202",164
"203",162
"204",127
"205",116
"206",98
"207",89
"208",87
"209",89
"210",97
"211",112
"212",125
"213",121
"214",117
"215",107
"216",99
"217",92
"218",85
"219",79
"220",78
"221",78
"222",78
"223",80
"224",83
"225",87
"226",89
"227",91
"228",92
"229",92
"230",92
"231",0
"232",191
"233",0
"234",0
"235",0
"236",184
"237",168
"238",110
"239",145
"240",156
"241",120
"242",143
"243",194
"244",0
"245",0
"246",194
"247",178
"248",154
"249",169
"250",141
"251",170
"252",115
"253",138
"254",120
"255",94
"256",90
"257",90
"258",92
"259",101
"260",110
"261",111
"262",113
"263",106
"264",97
"265",89
"266",83
"267",79
"268",77
"269",78
"270",79
"271",80
"272",83
"273",86
"274",88
"275",89
"276",89
"277",86
"278",85
"279",86
"280",195
"281",181
"282",0
"283",0
"284",0
"285",180
"286",172
"287",148
"288",111
"289",134
"290",117
"291",103
"292",118
"293",197
"294",0
"295",194
"296",0
"297",191
"298",166
"299",148
"300",137
"301",165
"302",115
"303",136
"304",150
"305",116
"306",93
"307",92
"308",91
"309",97
"310",106
"311",111
"312",110
"313",110
"314",100
"315",89
"316",83
"317",81
"318",78
"319",79
"320",79
"321",79
"322",80
