"plotid","error","value"
1,0,97
2,0,95
3,0,92
4,0,91
5,0,90
6,0,92
7,0,96
8,0,102
9,0,101
10,0,100
11,0,100
12,0,110
13,0,138
14,0,158
15,0,145
16,0,121
17,0,108
18,0,85
19,0,113
20,0,129
21,0,125
22,0,112
23,0,108
24,0,108
25,0,114
26,0,143
27,0,171
28,0,172
29,0,160
30,0,161
31,0,125
32,0,90
33,0,83
34,0,84
35,0,88
36,0,106
37,0,125
38,0,130
39,0,153
40,0,154
41,0,140
42,0,145
43,0,177
44,0,189
45,0,268
46,0,343
47,0,231
48,0,197
49,0,193
50,0,164
51,0,133
52,0,91
53,0,88
54,0,101
55,0,112
56,0,115
57,0,116
58,0,127
59,0,125
60,0,142
61,0,137
62,0,133
63,0,155
64,0,176
65,0,193
66,0,190
67,0,194
68,0,234
69,0,188
70,0,228
71,0,323
72,0,369
73,0,233
74,0,212
75,0,123
76,0,86
77,0,90
78,0,112
79,0,140
80,0,125
81,0,125
82,0,130
83,0,130
84,0,127
85,0,119
86,0,108
87,0,91
88,0,81
89,0,75
90,0,76
91,0,77
92,0,78
93,0,80
94,0,84
95,0,86
96,0,177
97,0,171
98,0,162
99,0,161
100,0,156
101,0,140
102,0,154
103,0,179
104,0,187
105,0,200
106,0,195
107,0,187
108,0,161
109,0,179
110,0,206
111,0,192
112,0,150
113,0,169
114,0,126
115,0,87
116,0,91
117,0,97
118,0,141
119,0,143
120,0,137
121,0,138
122,0,129
123,0,128
124,0,119
125,0,105
126,0,92
127,0,84
128,0,77
129,0,76
130,0,76
131,0,76
132,0,80
133,0,85
134,0,88
135,0,93
136,0,98
137,0,97
138,0,97
139,0,148
140,0,156
141,0,171
142,0,185
143,0,158
144,0,159
145,0,154
146,0,156
147,0,166
148,0,158
149,0,153
150,0,143
151,0,137
152,0,132
153,0,140
154,0,192
155,0,201
156,0,158
157,0,125
158,0,105
159,0,89
160,0,89
161,0,87
162,0,91
163,0,119
164,0,135
165,0,135
166,0,127
167,0,127
168,0,114
169,0,102
170,0,91
171,0,85
172,0,80
173,0,77
174,0,76
175,0,78
176,0,81
177,0,84
178,0,88
179,0,91
180,0,94
181,0,94
182,0,95
183,0,96
184,0,183
185,0,211
186,0,224
187,0,206
188,0,180
189,0,168
190,0,125
191,0,140
192,0,156
193,0,137
194,0,151
195,0,166
196,0,171
197,0,172
198,0,163
199,0,163
200,0,169
201,0,154
202,0,164
203,0,162
204,0,127
205,0,116
206,0,98
207,0,89
208,0,87
209,0,89
210,0,97
211,0,112
212,0,125
213,0,121
214,0,117
215,0,107
216,0,99
217,0,92
218,0,85
219,0,79
220,0,78
221,0,78
222,0,78
223,0,80
224,0,83
225,0,87
226,0,89
227,0,91
228,0,92
229,0,92
230,0,92
231,0,205
232,0,191
233,0,205
234,0,229
235,0,215
236,0,184
237,0,168
238,0,110
239,0,145
240,0,156
241,0,120
242,0,143
243,0,194
244,0,204
245,0,203
246,0,194
247,0,178
248,0,154
249,0,169
250,0,141
251,0,170
252,0,115
253,0,138
254,0,120
255,0,94
256,0,90
257,0,90
258,0,92
259,0,101
260,0,110
261,0,111
262,0,113
263,0,106
264,0,97
265,0,89
266,0,83
267,0,79
268,0,77
269,0,78
270,0,79
271,0,80
272,0,83
273,0,86
274,0,88
275,0,89
276,0,89
277,0,86
278,0,85
279,0,86
280,0,195
281,0,181
282,0,206
283,0,207
284,0,206
285,0,180
286,0,172
287,0,148
288,0,111
289,0,134
290,0,117
291,0,103
292,0,118
293,0,197
294,0,201
295,0,194
296,0,200
297,0,191
298,0,166
299,0,148
300,0,137
301,0,165
302,0,115
303,0,136
304,0,150
305,0,116
306,0,93
307,0,92
308,0,91
309,0,97
310,0,106
311,0,111
312,0,110
313,0,110
314,0,100
315,0,89
316,0,83
317,0,81
318,0,78
319,0,79
320,0,79
321,0,79
322,0,80
323,0,83
324,0,85
325,0,86
326,0,85
327,0,82
328,0,83
329,0,85
330,0,86
331,0,87
332,0,242
333,0,227
334,0,230
335,0,231
336,0,218
337,0,198
338,0,203
339,0,181
340,0,174
341,0,267
342,0,156
343,0,162
344,0,143
345,0,124
346,0,153
347,0,211
348,0,198
349,0,174
350,0,160
351,0,142
352,0,142
353,0,135
354,0,103
355,0,120
356,0,157
357,0,120
358,0,97
359,0,93
360,0,92
361,0,96
362,0,102
363,0,106
364,0,114
365,0,112
366,0,100
367,0,94
368,0,86
369,0,81
370,0,80
371,0,81
372,0,80
373,0,79
374,0,79
375,0,81
376,0,83
377,0,84
378,0,83
379,0,82
380,0,82
381,0,83
382,0,85
383,0,86
384,0,308
385,0,279
386,0,265
387,0,245
388,0,238
389,0,217
390,0,203
391,0,170
392,0,191
393,0,157
394,0,203
395,0,224
396,0,171
397,0,185
398,0,233
399,0,233
400,0,190
401,0,136
402,0,133
403,0,118
404,0,126
405,0,142
406,0,129
407,0,126
408,0,104
409,0,149
410,0,124
411,0,119
412,0,95
413,0,94
414,0,93
415,0,97
416,0,105
417,0,113
418,0,121
419,0,113
420,0,107
421,0,103
422,0,91
423,0,82
424,0,83
425,0,82
426,0,81
427,0,80
428,0,80
429,0,80
430,0,81
431,0,81
432,0,81
433,0,82
434,0,83
435,0,84
436,0,85
437,0,88
438,0,90
439,0,238
440,0,206
441,0,205
442,0,215
443,0,199
444,0,200
445,0,160
446,0,152
447,0,143
448,0,186
449,0,201
450,0,281
451,0,289
452,0,309
453,0,306
454,0,277
455,0,216
456,0,157
457,0,138
458,0,135
459,0,135
460,0,102
461,0,122
462,0,129
463,0,140
464,0,146
465,0,95
466,0,94
467,0,94
468,0,97
469,0,112
470,0,124
471,0,130
472,0,125
473,0,112
474,0,101
475,0,91
476,0,84
477,0,81
478,0,83
479,0,82
480,0,81
481,0,81
482,0,80
483,0,80
484,0,81
485,0,81
486,0,83
487,0,84
488,0,85
489,0,87
490,0,88
491,0,91
492,0,230
493,0,211
494,0,188
495,0,179
496,0,203
497,0,182
498,0,153
499,0,141
500,0,149
501,0,174
502,0,212
503,0,351
504,0,402
505,0,344
506,0,267
507,0,212
508,0,155
509,0,165
510,0,167
511,0,115
512,0,116
513,0,121
514,0,119
515,0,118
516,0,103
517,0,95
518,0,94
519,0,94
520,0,97
521,0,118
522,0,133
523,0,139
524,0,128
525,0,108
526,0,97
527,0,87
528,0,83
529,0,83
530,0,83
531,0,83
532,0,82
533,0,81
534,0,82
535,0,82
536,0,82
537,0,83
538,0,83
539,0,85
540,0,87
541,0,88
542,0,89
543,0,91
544,0,96
545,0,268
546,0,220
547,0,192
548,0,178
549,0,166
550,0,181
551,0,140
552,0,131
553,0,144
554,0,165
555,0,233
556,0,322
557,0,406
558,0,445
559,0,391
560,0,327
561,0,263
562,0,168
563,0,125
564,0,124
565,0,136
566,0,125
567,0,136
568,0,118
569,0,98
570,0,97
571,0,94
572,0,94
573,0,101
574,0,117
575,0,133
576,0,132
577,0,122
578,0,97
579,0,92
580,0,88
581,0,85
582,0,82
583,0,83
584,0,81
585,0,82
586,0,83
587,0,83
588,0,82
589,0,82
590,0,83
591,0,84
592,0,84
593,0,86
594,0,88
595,0,91
596,0,92
597,0,95
598,0,98
599,0,380
600,0,241
601,0,217
602,0,189
603,0,155
604,0,157
605,0,159
606,0,133
607,0,129
608,0,138
609,0,167
610,0,233
611,0,336
612,0,440
613,0,395
614,0,307
615,0,302
616,0,226
617,0,166
618,0,175
619,0,156
620,0,199
621,0,141
622,0,125
623,0,124
624,0,99
625,0,98
626,0,103
627,0,113
628,0,125
629,0,145
630,0,168
631,0,133
632,0,100
633,0,95
634,0,87
635,0,84
636,0,83
637,0,82
638,0,82
639,0,84
640,0,84
641,0,83
642,0,84
643,0,84
644,0,83
645,0,84
646,0,85
647,0,86
648,0,88
649,0,91
650,0,93
651,0,95
652,0,101
653,0,283
654,0,207
655,0,170
656,0,153
657,0,142
658,0,139
659,0,138
660,0,124
661,0,124
662,0,137
663,0,163
664,0,179
665,0,228
666,0,243
667,0,264
668,0,227
669,0,218
670,0,328
671,0,276
672,0,178
673,0,178
674,0,175
675,0,166
676,0,165
677,0,120
678,0,103
679,0,113
680,0,123
681,0,155
682,0,184
683,0,140
684,0,118
685,0,103
686,0,99
687,0,88
688,0,85
689,0,83
690,0,83
691,0,85
692,0,85
693,0,85
694,0,85
695,0,87
696,0,86
697,0,84
698,0,85
699,0,86
700,0,87
701,0,90
702,0,93
703,0,98
704,0,104
705,0,109
706,0,117
707,0,124
708,0,213
709,0,185
710,0,157
711,0,135
712,0,127
713,0,123
714,0,119
715,0,118
716,0,133
717,0,148
718,0,215
719,0,184
720,0,173
721,0,185
722,0,203
723,0,213
724,0,190
725,0,297
726,0,255
727,0,193
728,0,177
729,0,180
730,0,287
731,0,320
732,0,113
733,0,145
734,0,198
735,0,219
736,0,180
737,0,140
738,0,114
739,0,104
740,0,95
741,0,89
742,0,89
743,0,88
744,0,86
745,0,85
746,0,85
747,0,86
748,0,86
749,0,87
750,0,87
751,0,85
752,0,85
753,0,86
754,0,88
755,0,103
756,0,107
757,0,106
758,0,117
759,0,124
760,0,127
761,0,131
762,0,172
763,0,129
764,0,124
765,0,118
766,0,118
767,0,116
768,0,115
769,0,113
770,0,115
771,0,135
772,0,145
773,0,138
774,0,133
775,0,138
